id,kind,cluster,domains,daccRole,platform,workerAction,batonHolder,batonIdentity,axesNote
agent-registry-manager,primary,orchestration,,,,,false,,cluster=work domain; not baton
agent-relationship-grapher,primary,orchestration,,,,,false,,cluster=work domain; not baton
agent-search-engine,primary,orchestration,,,,,false,,cluster=work domain; not baton
agent-tagger,primary,orchestration,,,,,false,,cluster=work domain; not baton
content-calendar-orchestrator-agent,primary,orchestration,,,,,false,,persona name contains orchestrator; not master-clock baton
gemini,sub,orchestration,,worker,gemini,,false,,PLATFORM node in orchestration-domain workflows — not a DACC seat
inter-agentic-workflow-definer,primary,orchestration,,,,,false,,cluster=work domain; not baton
interoperability-protocol-agent,primary,orchestration,,,,,false,,cluster=work domain; not baton
orchestrator-agent,primary,orchestration,,worker,,orchestrator,false,,Skill/persona for coordination work — NOT master-clock ORCHESTRATOR-{ts} baton
orchestrator-agent-copy,sub,orchestration,,,,,false,,Copy/variant of orchestrator-agent persona; not baton identity
master-clock-baton,infra,runtime-infra,,orchestrator,master-clock,,true,ORCHESTRATOR-{timestamp},Canonical baton holder process. Added 2026-07-25 for axis clarity.
antigravity-platform,platform,fulfillment,,worker,antigravity,,false,,Fulfillment platform only. Default roster role=worker with optional orchestration capabilities.
personal-archaeology-integrity-team-orchestrator,primary,orchestration,,,,,false,,
personal-archaeology-master-orchestrator,primary,orchestration,,,,,false,,
personal-archaeology-narrative-team-orchestrator,primary,orchestration,,,,,false,,
personal-archaeology-source-team-orchestrator,primary,orchestration,,,,,false,,
personal-historical-archaeologist,sub,orchestration,,,,,false,,
print-on-demand-manager-agent,sub,orchestration,,,,,false,,
task-agent-router,primary,orchestration,,,,,false,,
ad-network-manager-agent,primary,content,,,,,false,,
analytics-and-reporting-agent,primary,content,,,,,false,,
content-writer-agent,primary,content,,,,,false,,
digital-product-creator-agent,primary,content,,,,,false,,
digital-product-factory-agent,primary,content,,,,,false,,
fan-funding-agent,sub,content,,,,,false,,
live-stream-manager-agent,sub,content,,,,,false,,
media-evidence-investigator,primary,content,,,,,false,,
storyboard-artist-agent,sub,content,,,,,false,,
technical-setup-agent,sub,content,,,,,false,,
twip-orchestration-bridge,sub,content,,,,,false,,
user-feedback-analysis-agent,sub,content,,,,,false,,
video-editor-agent,sub,content,,,,,false,,
yt-niche-strategy-agent,primary,content,,,,,false,,
content-calendar-agent,primary,seo,,,,,false,,
content-refresh-agent,primary,seo,,,,,false,,
keyword-research-agent,primary,seo,,,,,false,,
link-building-agent,primary,seo,,,,,false,,
seo-optimizer-agent,primary,seo,,,,,false,,
technical-seo-auditor-agent,primary,seo,,,,,false,,
yt-seo-optimizer-agent,primary,seo,,,,,false,,
algorithm-adaptation-agent,sub,social,,,,,false,,
audience-growth-agent,primary,social,,,,,false,,
audience-persona-architect-agent,sub,social,,,,,false,,
audience-segmentation-agent,sub,social,,,,,false,,
community-engagement-agent,sub,social,,,,,false,,
community-manager-agent,primary,social,,,,,false,,
content-repurposing-agent,primary,social,,,,,false,,
facebook-strategy-agent,sub,social,,,,,false,,
instagram-strategy-agent,sub,social,,,,,false,,
scout-llm-opportunities,sub,social,,,,,false,,
scriptwriter-agent,primary,social,,,,,false,,
social-selling-agent,sub,social,,,,,false,,
tiktok-strategy-agent,primary,social,,,,,false,,
traffic-generation-agent,primary,social,,,,,false,,
x-strategy-agent,primary,social,,,,,false,,
ab-testing-optimizer-agent,primary,funnel,,,,,false,,
affiliate-link-manager-agent,primary,funnel,,,,,false,,
audio-recording-agent,sub,funnel,,,,,false,,
code-fossil-investigator,sub,funnel,,,,,false,,
cognitive-bias-optimizer-agent,sub,funnel,,,,,false,,
cro-process-agent,primary,funnel,,,,,false,,
customer-journey-map-agent,sub,funnel,,,,,false,,
ecom-platform-manager-agent,sub,funnel,,,,,false,,
equipment-recommendation-agent,sub,funnel,,,,,false,,
ethical-bias-auditor-agent,sub,funnel,,,,,false,,
funnel-economics-analyst-agent,sub,funnel,,,,,false,,
information-retrieval-agent,sub,funnel,,,,,false,,
lead-capture-agent,primary,funnel,,,,,false,,
lead-magnet-funnel-agent,primary,funnel,,,,,false,,
master-of-taxonomies,sub,funnel,,,,,false,,
monetization-strategy-agent,primary,funnel,,,,,false,,
niche-analyst-agent,sub,funnel,,,,,false,,
oto-sequence-architect-agent,sub,funnel,,,,,false,,
personalized-content-recommendation-agent,primary,funnel,,,,,false,,
sales-funnel-architect-agent,sub,funnel,,,,,false,,
value-ladder-architect-agent,primary,funnel,,,,,false,,
visual-asset-creator-agent,sub,funnel,,,,,false,,
episode-planner-agent,sub,podcast,,,,,false,,
guest-booking-agent,sub,podcast,,,,,false,,
guest-relationship-manager-agent,primary,podcast,,,,,false,,
podcast-ad-network-agent,sub,podcast,,,,,false,,
podcast-affiliate-agent,primary,podcast,,,,,false,,
podcast-analytics-agent,primary,podcast,,,,,false,,
podcast-audio-editor-agent,sub,podcast,,,,,false,,
podcast-distribution-agent,sub,podcast,,,,,false,,
podcast-equipment-agent,sub,podcast,,,,,false,,
podcast-format-designer-agent,sub,podcast,,,,,false,,
podcast-hosting-setup-agent,sub,podcast,,,,,false,,
podcast-monetization-strategy-agent,sub,podcast,,,,,false,,
podcast-niche-analyst-agent,primary,podcast,,,,,false,,
podcast-promotion-agent,primary,podcast,,,,,false,,
podcast-seo-agent,primary,podcast,,,,,false,,
podcast-video-editor-agent,sub,podcast,,,,,false,,
sponsorship-outreach-agent,primary,podcast,,,,,false,,
brand-identity-agent,primary,brand,,,,,false,,
brand-outreach-agent,sub,brand,,,,,false,,
brand-prospecting-agent,sub,brand,,,,,false,,
campaign-execution-agent,primary,brand,,,,,false,,
campaign-reporting-agent,primary,brand,,,,,false,,
competitive-intelligence-agent,primary,brand,,,,,false,,
contract-manager-agent,sub,brand,,,,,false,,
deal-negotiator-agent,sub,brand,,,,,false,,
email-marketing-automation-agent,sub,brand,,,,,false,,
financial-manager-agent,primary,brand,,,,,false,,
influencer-media-kit-agent,sub,brand,,,,,false,,
influencer-niche-agent,sub,brand,,,,,false,,
personal-brand-architect-agent,sub,brand,,,,,false,,
platform-selection-agent,sub,brand,,,,,false,,
reputation-management-agent,primary,brand,,,,,false,,
talent-manager-agent,sub,brand,,,,,false,,
yt-content-strategy-agent,primary,brand,,,,,false,,
asset-sourcer-agent,primary,ops,,,,,false,,
auth-blocker-sentinel,primary,ops,,,,,false,,
digital-asset-manager-agent,primary,ops,,,,,false,,
legal-compliance-agent,primary,ops,,,,,false,,
local-ai-claude-code-cli,sub,ops,,,,,false,,
local-ai-gemini-cli,sub,ops,,,,,false,,
notes-ledger-investigator,primary,ops,,,,,false,,
productivity-and-burnout-prevention-agent,sub,ops,,,,,false,,
repo-lineage-investigator,primary,ops,,,,,false,,
tax-compliance-agent,primary,ops,,,,,false,,
timeline-synthesis-investigator,sub,ops,,,,,false,,
